BBB7_DC110V_EI_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,7#补偿棒应急DC110V I段供电状态,
BBB7_DJ_COM,POE\C01\BK_COM2.GB,IN,215,30,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,7#补偿棒到底部终端位置,
BBB7_DJ_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,7#补偿棒到底部终端位置,
BBB7_WD_P_COM,POE\C01\BK_COM2.GB,IN,371,73,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,7#补偿棒电位器供电状态,
BBB7_WD_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,7#补偿棒电位器供电状态,
BBB7_ZKF_P_COM,POE\C01\BK_COM2.GB,IN,368,32,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,7#补偿棒自整角机供电状态,
BBB7_ZKF_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,7#补偿棒自整角机供电状态,
BBB8_AC220V_EII_COM,POE\C01\BK_COM2.GB,IN,271,139,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,8#补偿棒应急AC220V II段供电状态,
BBB8_AC220V_EII_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,8#补偿棒应急AC220V II段供电状态,
BBB8_DC110V_EII_COM,POE\C01\BK_COM2.GB,IN,271,99,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,8#补偿棒应急DC110V II段供电状态,
BBB8_DC110V_EII_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,8#补偿棒应急DC110V II段供电状态,
BBB8_DJ_COM,POE\C01\BK_COM2.GB,IN,219,30,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,8#补偿棒到底部终端位置,
BBB8_DJ_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,8#补偿棒到底部终端位置,
BBB8_WD_P_COM,POE\C01\BK_COM2.GB,IN,375,73,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,8#补偿棒电位器供电状态,
BBB8_WD_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,8#补偿棒电位器供电状态,
BBB8_ZKF_P_COM,POE\C01\BK_COM2.GB,IN,372,32,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,8#补偿棒自整角机供电状态,
BBB8_ZKF_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,8#补偿棒自整角机供电状态,
BBB9_AC220V_EI_COM,POE\C01\BK_COM2.GB,IN,275,140,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,9#补偿棒应急AC220V I段供电状态,
