B02_04_AVI.AVR,POE\DPTagVar\DPTagVar.STB,,302,0,读,,,,,VAR,LOCAL,,,
B02_04_AVI.CST,POE\DPTagVar\DPTagVar.STB,,302,0,读,,,,,VAR,LOCAL,,,
B02_04_AVI.CSTA,POE\DPTagVar\MODIO.STB,,101,0,写,:=,,,,VAR,LOCAL,,,
B02_04_AVI.MS,POE\DPTagVar\DPTagVar.STB,,302,0,读,,,,,VAR,LOCAL,,,
B02_04_AVI.MST,POE\DPTagVar\MODIO.STB,,101,0,写,:=,,,,VAR,LOCAL,,,
B02_04_AVI.Q,POE\DPTagVar\DPTagVar.STB,,302,0,读,,,,,VAR,LOCAL,,,
B02_04_AVI.QTYP,POE\DPTagVar\DPTagVar.STB,,302,0,读,,,,,VAR,LOCAL,,,
B02_04_AVR,POE\DPTagVar\DPTagVar.STB,,302,0,写,:=,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_04_AVR,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_04_BF,POE\DPTagVar\DPTagVar.STB,,301,0,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_04_BF,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_04_CST,POE\DPTagVar\DPTagVar.STB,,302,0,写,:=,WORD,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_04_CST,POE\DPTagVar\DPTagVarV.VB,,,,,,WORD,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_04_FAI,POE\DPTagVar\DPTagVar.STB,,301,0,读,,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_04_FAI,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_04_MS,POE\DPTagVar\DPTagVar.STB,,302,0,写,:=,BOOL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_04_MS,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_04_Q,POE\DPTagVar\DPTagVar.STB,,302,0,写,:=,BOOL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_04_Q,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_04_QTYP,POE\DPTagVar\DPTagVar.STB,,302,0,写,:=,BYTE,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_04_QTYP,POE\DPTagVar\DPTagVarV.VB,,,,,,BYTE,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_05,POE\DPTagVar\DPTagVar.STB,,316,0,读,,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_05,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_05_AV,POE\DPTagVar\DPTagVar.STB,,317,0,写,:=,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_05_AV,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_05_AVI,POE\DPTagVar\DPTagVar.STB,,316,0,调用,,,,,VAR,FB,,,
